Entity,Code,Year,Percentage of people using the internet in Australia
Australia,AUS,1990,0.5850947
Australia,AUS,1991,1.0972039
Australia,AUS,1992,1.7687649
Australia,AUS,1993,1.974611
Australia,AUS,1994,2.2321012
Australia,AUS,1995,2.7596545
Australia,AUS,1996,3.27525
Australia,AUS,1997,16.369358
Australia,AUS,1998,30.81324
Australia,AUS,1999,40.783783
Australia,AUS,2000,46.7561
Australia,AUS,2001,52.6893
Australia,AUS,2005,63
Australia,AUS,2006,66
Australia,AUS,2007,69.45
Australia,AUS,2008,71.67
Australia,AUS,2009,74.25
Australia,AUS,2010,76
Australia,AUS,2011,79.4877
Australia,AUS,2012,79
Australia,AUS,2013,83.4535
Australia,AUS,2014,84
Australia,AUS,2015,84.5605
Australia,AUS,2016,86.54
Australia,AUS,2017,86.545
Australia,AUS,2018,90
Australia,AUS,2019,93.6099
Australia,AUS,2020,94.6935
Australia,AUS,2021,94.9886
Australia,AUS,2022,94.8762